"IMPORTANTE","cod_universidad","des_universidad","curso_academico","cod_campus","des_campus","cod_centro","des_centro","cod_naturaleza_centro","des_naturaleza_centro","cod_tipo_estudio","des_tipo_estudio","cod_titulacion","des_titulacion","cod_comunidad_centro_sec","des_comunidad_centro_sec","cod_provincia_centro_sec","des_provincia_centro_sec","cod_municipio_centro_sec","des_municipio_centro_sec","lat_municipio_centro_sec","lon_municipio_centro_sec","cod_naturaleza_centro_sec","des_naturaleza_centro_sec","nota_admision","cod_pais_fin_estudio_acceso","des_pais_fin_estudio_acceso","lat_pais_fin_estudio_acceso","lon_pais_fin_estudio_acceso","cod_continente_fin_estudio_acceso","des_continente_fin_estudio_acceso","cod_agregacion_paises_fin_estudio_acceso","des_agregacion_paises_fin_estudio_acceso","cod_estudio_acceso","des_estudio_acceso","cod_especialidad_acceso","des_especialidad_acceso","des_tipo_especialidad_acceso","cod_ocupacion_estudiante","des_ocupacion_estudiante","anio_fin_estudio_acceso","cod_forma_admision","des_forma_admision","ind_accede_al_SUE_por_1a_vez","anio_acceso_SUE","ind_se_matricula_en_primero","ind_curso_adaptacion","anio_nacimiento","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_pais_residencia","des_pais_residencia","lat_pais_residencia","lon_pais_residencia","cod_continente_residencia","des_continente_residencia","cod_agregacion_paises_residencia","des_agregacion_paises_residencia","cod_dedicacion","des_dedicacion","cod_genero","des_genero","cod_familia_numerosa","des_familia_numerosa","cod_nivel_estudios_madre","des_nivel_estudios_madre","cod_ocupacion_madre","des_ocupacion_madre","cod_nivel_estudios_padre","des_nivel_estudios_padre","cod_ocupacion_padre","des_ocupacion_padre"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","2","Centro Privado","9,118",,,,,,,,,"01","Bachillerato LOE",,,,"02","Técnicos y profesionales científicos e intelectuales",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)",,,,,,,,,,,"11,893",,,,,,,,,"07","Bachillerato LOMCE","0702","Ciencias","Bachillerato LOMCE","01","Directores y gerentes",,"07","Estudios procedentes de sistemas educativos extranjeros, previa solicitud de homologación, del título de origen al título español de bachiller","SÍ","2024","SÍ","NO","1996","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","01","Directores y gerentes","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28134","SAN SEBASTIÁN DE LOS REYES","40.54751","-3.626394","2","Centro Privado","8,903",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","01","Directores y gerentes","4","Estudios Secundarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)",,,,,,,,,,,"5,198",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","3","Familia numerosa especial","3","Estudios Primarios","01","Directores y gerentes","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","10","Valencia","3","Alicante/Alacant","03088","MONFORTE DEL CID","38.37923","-0.7292369","2","Centro Privado","11,506",,,,,,,,,,,,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","484","México","23.634501","-102.552784","19","Américas","419","América Latina y el Caribe","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28115","POZUELO DE ALARCÓN","40.4352","-3.813062","2","Centro Privado","7,225",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","1","Andalucía","4","Almería","04029","BERJA","36.84644","-2.949425","2","Centro Privado","11,475",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2024","SÍ","NO","1999","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)",,,,,,,,,,,"9",,,,,,,,,"02","Bachillerato LOGSE","0204","Humanidades y Ciencias Sociales","Bachillerato LOGSE","02","Técnicos y profesionales científicos e intelectuales",,"02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2024","SÍ","NO","2005","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","M","Mujer","1","No","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346",,,"12,421",,,,,,,,,"07","Bachillerato LOMCE","0703","Humanidades y Ciencias Sociales","Bachillerato LOMCE",,,,"02","Estudiantes procedentes de sistemas miembros de la Unión Europea o de otros Estados con los que España haya suscrito Acuerdos Internacionales a este respecto que cumplan los requisitos exigidos en su respectivo país para el acceso a la universidad. ","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","2","Familia numerosa general","5","Estudios Superiores","02","Técnicos y profesionales científicos e intelectuales","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28006","ALCOBENDAS","40.54754","-3.642091","2","Centro Privado","9,586",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","2","Centro Privado","7,786",,,,,,,,,,,,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2005","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","01","Directores y gerentes","4","Estudios Secundarios","02","Técnicos y profesionales científicos e intelectuales"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)",,,,,,,,,,,"6,364",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2004","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","2","Familia numerosa general","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)","13","Madrid","28","Madrid","28058","FUENLABRADA","40.28387","-3.800329","1","Centro Público","6,083",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2006","152","Chile","-35.675147","-71.542969","19","Américas","419","América Latina y el Caribe","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","010","Universidad Complutense de Madrid","2024-25","01001","Ciudad Universitaria","28053915","Instituto Superior de Derecho y Economía","2","Privado","G","Grado","2500828","GRADO EN DERECHO (2020) INSTITUTO SUPERIOR DE DERECHO Y ECONOMÍA (8870)",,,,,,,,,,,"5,84",,,,,,,,,"08","Bachillerato LOMLOE",,,,"01","Directores y gerentes",,"01","Pruebas de Acceso a la Universidad (EVAU, PAU y Pruebas de Acceso anteriores)","SÍ","2024","SÍ","NO","2005","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","1","Tiempo completo","H","Hombre","1","No","3","Estudios Primarios","01","Directores y gerentes","3","Estudios Primarios","01","Directores y gerentes"
